Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Stats,Job_Description,Education
"Junior Data Scientist
Larsen & Toubro Infotech Limited3.6(1653 Reviews)",Larsen & Toubro Infotech Limited3.6(1653 Reviews),India,3 - 8 years,"Key Skills
Cluster analysisStatistical modelingAnalyticalMachine learningManager TechnologyDatabaseMathematicsData miningPythontext analytics",Not Disclosed,Posted: 1 day agoOpenings: 1Job Applicants: 33,"Job Description
Required experience: Minimum 3 years of hands on experience using Python to manipulate data and draw insights from large data sets
Experience in statistical modeling, machine learning, data mining, Predictive/ Classification Models for structured data, Cluster Analysis
Experience on NLP/Topic Modeling/Text Analytics will have added advantage Soft Skills: Excellent written and verbal communication skills and ability to work in a team Outstanding analytical and problem-solving skills
Education: Master in Statistics / Economics / Mathematics OR BE or equivalent","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
"Data Scientist
NeenOpal Intelligent Solutions Pvt. Ltd.",NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2 - 6 years,"Key Skills
Supply chaindata scienceCodingNeural networksAnalyticalMachine learningForecastingSQLPythonLogistics",Not Disclosed,Posted: 10 days agoOpenings: 1Job Applicants: 719,"Job Description
We are looking for someone who would be responsible for analyzing data and providing business insights. As a Data Scientist your responsibilities will include understanding the business problem and experimenting with different modelling architectures to create the best possible setup from model performance as well as computational performance. To do this job successfully, you need exceptional skills in Machine Learning and Programming. Your ultimate goal will be to find the best data-based solution for the problem at hand.
Moreover, you are expected to learn fast and deliver quickly in a fast-paced startup environment. If you thrive on ambiguity and are a problem solver and yet deliver value to clients, feel free to reach out to us.
We are looking ONLY FOR SELF DRIVEN INDIVIDUALS with a desire to excel in Data Science Domain.
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Develop and maintain robust data processing pipelines and reproducible modeling pipelines
Build mathematical models to solve various problems ranging from Time Series forecasting to Neural Networks and ensure seamless deployment in production pipelines.
Analyze experimental results, iterate and refine models to create significant business impact
Follow strict coding standards and other software engineering best practices
Job Requirements
Proven experience as a Data Scientist or similar role
Strong SQL, R/Python Skills
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Strong Problem-Solving Ability
Ability to communicate well in a highly collaborative team environment, consisting of both technical and non-technical personnel
Reliable self-starter that is capable of working with a high degree of autonomy","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
"Data Scientist
Mobiotics IT Solution Pvt Ltd5.0(9 Reviews)",Mobiotics IT Solution Pvt Ltd5.0(9 Reviews),Bengaluru( HSR Layout ),2 - 5 years,"Key Skills
Big Data AnalyticsELKPostgresqlCassandraKafkaJupyter NotebookMachine LearningNumpyDeep LearningRedshiftPandaData SciencePyTorchNLPKinesisMySQLKerasMongoDBData ModelingSparkAWSPythonPredictive Analytics","₹ 5,00,000 - 10,00,000 P.A.",Posted: 11 days agoOpenings: 1Job Applicants: 1046,"Data Scientist @ Mobiotics

Roles and Responsibilities
1. Build and maintain big data analytics platforms
2. Optimise analytics and database workflows
3. Predictive Analytics, Data modelling and ML Implementation
Desired Candidate Profile
1. 2-5 Years of solid experience in data analytics and ML
2. Degree in Data Science preferred with good understanding of data analytics algorithms and data fundamentals
3. Expertise in using python, numpy, pandas, Scala/R for data analytics
4. Expertise in using SQL and derivatives for doing data analytics
5. Expertise with SQL/NoSQL data systems and processing pipelines like MySQL, Postgresql, Cassandra, Spark, Bigtable, Redshift, DynamoDB, MongoDB, Hadoop, Hive etc
6. Experience working with huge data sets and Jupyter Notebooks
7. Expertise with ML algorithms and Deep Learning Models using Pytorch and Keras
8. Experience with data streaming systems like Kafka, Kinesis etc.
9. Good experience working with cloud - AWS/Azure/GCP
10. Experience with NLP and ELK Stack

Perks and Benefits
Flexible work environment
Cutting Edge Work
ESOP and other perks","Education
UG :B.Tech/B.E. in Computers
PG :MS/M.Sc(Science) in Computers, Data Informatics, M.Tech in Computers"
"Data Scientist, Machine Learning
ExecBoardinAsia",ExecBoardinAsia,Bengaluru,5 - 10 years,"Key Skills
customer segmentationAnalyticalArtificial IntelligenceConsultingMachine learningResearchBusiness solutionsForecastingAnalyticsMonitoring",Not Disclosed,Posted: 15 days agoOpenings: 1Job Applicants: 85,"The Artificial Intelligence and Machine Learning (AIML) group at the company Analytics is actively involved in helping Fortune 500 companies by enabling them to discover how they can leverage their data using advanced and sophisticated AI\/ML algorithms for which they are looking for Data Scientists with the capability to work on independent statistical and machine learning research\/ projects. If you are a problem solver with a curiosity for exploring new techniques and technologies in AIML space, then they would like to talk with you.
Job Responsibilities
Ability to understand a problem statement and implement analytical solutions & techniques independently with independently / proactively / thought-leadership.
Work with stakeholders throughout the organization to identify opportunities for leveraging company\/client data to drive business solutions.
Fast learner: ability to learn and pick up a new language/tool/ platform quickly.
Conceptualize, design, and deliver high-quality solutions and insightful analysis.
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems.
Collaborate and Coordinate with different functional teams(engineering and product development) to implement models and monitor outcomes.
Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer Segmentation & Targeting, Propensity Modeling, Churn Modeling, Lifetime Value Estimation, Forecasting, Recommender Systems, Modeling Response to Incentives, Marketing Mix Optimization, Price Optimization.","Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required"
"Data Scientist, Machine Learning
ExecBoardinAsia",ExecBoardinAsia,Bengaluru,5 - 10 years,"Key Skills
customer segmentationAnalyticalArtificial IntelligenceConsultingMachine learningResearchBusiness solutionsForecastingAnalyticsMonitoring",Not Disclosed,Posted: 15 days agoOpenings: 1Job Applicants: 85,"The Artificial Intelligence and Machine Learning (AIML) group at the company Analytics is actively involved in helping Fortune 500 companies by enabling them to discover how they can leverage their data using advanced and sophisticated AI\/ML algorithms for which they are looking for Data Scientists with the capability to work on independent statistical and machine learning research\/ projects. If you are a problem solver with a curiosity for exploring new techniques and technologies in AIML space, then they would like to talk with you.
Job Responsibilities
Ability to understand a problem statement and implement analytical solutions & techniques independently with independently / proactively / thought-leadership.
Work with stakeholders throughout the organization to identify opportunities for leveraging company\/client data to drive business solutions.
Fast learner: ability to learn and pick up a new language/tool/ platform quickly.
Conceptualize, design, and deliver high-quality solutions and insightful analysis.
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems.
Collaborate and Coordinate with different functional teams(engineering and product development) to implement models and monitor outcomes.
Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer Segmentation & Targeting, Propensity Modeling, Churn Modeling, Lifetime Value Estimation, Forecasting, Recommender Systems, Modeling Response to Incentives, Marketing Mix Optimization, Price Optimization.","Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required"
"Data Scientist
Siemens Gamesa Renewable Energy4.3(365 Reviews)",Siemens Gamesa Renewable Energy4.3(365 Reviews),Bengaluru,4 - 9 years,"Key Skills
Renewable energybig data analyticsIT infrastructureData ArchitectRelationshipSiemensDeploymentData qualityOpen sourceAnalytics",Not Disclosed,Posted: 2 days agoOpenings: 1Job Applicants: 79,"Analyzes and enriches data by deploying various kinds of data analytics methods, models (e.g. predictive models) and algorithms to extract and visualize relevant information for solving business-specific questions and problems to generate viable market offerings.
Explores new business opportunities enabled by data analytics and data driven insights and proposes them to the business stakeholders.
Maintains network to customers, business experts and other subject matter experts to understand business data analytics requirements and identify data analytics driven business opportunities.
Conducts data exploration and identifies relevant data sets and new relations in data.
Identifies further data requirements and integrates such data. 
Develops and tests prototypes in an industrial environment, validates and communicates results to answer targeted business questions.
Develops marketable (product grade quality) analytic models, configures and deploys algorithms, selects optimal tool and define visualization method/tool to display results.
Sets up visualization systems to display results in most appropriate way based on cognitive science.
Defines and provides requirements to IT infrastructure.
Determines sustainable processes to support fast growing data volumes and ensuring of data quality and data accessibility together with the data architect.
Collaborates with Enterprise IT, service and product business units to maintain analytics model.
Implements and manages big data analytics projects and presents results to stakeholders inside and outside the company.
Explores new innovative technologies and open source projects.","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
"Data Scientist
vLogix Technologies Pvt. Ltd.,","vLogix Technologies Pvt. Ltd.,","Chennai( Okkiyam Thuraipakkam ), Bengaluru",5 - 7 years,"Key Skills
algorithmspythondata analysisdata scienceRDBMSdata miningnumpystatistical analysismachine learningstatisticsPanda","₹ 7,00,000 - 10,00,000 P.A.",Posted: 12 days agoOpenings: 2Job Applicants: 1902,"Context:
vLogix Tech is a Software Product and Services company with presence in Chennai and in USA. We have Software products for Manufacturing Industry Digitization. Our Services business focus on Manufacturing, Healthcare and Logistics Industry. Our technical skills are in Data Science, Data Engineering, Java, Python, AWS, Azure, IoT, Mobile, Integration and Tableau.

Seeking a Data Scientist for a project in Healthcare account. The candidate should have strong hands-on experience in data analysis, data mining, Python, and SQL. Experience in Healthcare is preferred.
Role Responsibilities
Identify valuable data sources and automate collection processes
Undertake pre-processing of structured and unstructured data
Analyse large amounts of information to discover trends and patterns
Build Predictive Models and Machine-Learning Algorithms
Combine models through ensemble modelling
Present information using data visualisation techniques
Collaborate with engineering and product development teams
Participate in the creation and review of technical design documents, proof of concept, and interface specification documents while ensuring architecture standards are followed

Requirements
Bachelor's Degree in Computer Science or related
Masters Degree or Ph.D will be a plus
2 - 5 years of relevant experience in Data Science
In-depth experience & proficiency in data mining, mathematics, and statistical analysis
Experience in SQL, Python (NumPy, Pandas), PyMC3, Theano, etc.,
Experience in projects with a full agile system development life cycle.
Experience in any of the RDBMS tools like PostgreSQL, Oracle, MS SQL, etc.,
Able to identify performance bottleneck and address performance issues
Preferred
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Familiarity with US Healthcare Domain
Experience utilising visualisation tools like Tableau or Microsoft Power BI is a plus

Perks and Benefits
Salary negotiable based on qualification and experience","Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers, Any Specialization
Doctorate :Ph.D in Computers, Any Doctorate in Any Specialization"
"Lead Data Scientist (Banking Operations)
Snaphunt",Snaphunt,Bengaluru,8 - 13 years,"Key Skills
Data ScienceClearingFinancial ServicesBanking OperationsLinuxMachine LearningStatistical AnalysisStatisticsPythonSQL",Not Disclosed,Posted: 16 days agoOpenings: 1Job Applicants: 212,"Our client is a global Financial Services group with a footprint in 60+ countries across the globe. They provide a wide range of financial solutions and consulting services to help their clients protect and manage assets, conduct secure transactions and finance their projects.

The Job

You will be working on Machine Learning frameworks and will be leading a team of Data Analysts and Engineers to build and implement best-in-class, reusable and robust codes and structures. Your team of Data Scientists will be responsible for developing, deploying and testing Machine Learning models while the team of analysts will be working on interpreting large datasets from databases and will be performing statistical analysis on historical data to validate these models. You will be required to stay updated with latest industry and technology developments in this space. You will also be working with key stakeholders to identify and capitalise on opportunities to leverage data to drive business solutions.

The Profile
You possess an advanced degree, ideally a PHD, in Mathematics, Statistics, Computer Science or related field.
You have at least 8 years experience, with a minimum of 4 years working with Machine Learning frameworks.
Expertise in Python, SQL and Unix/Linux.
You have the ability to articulate complex technical information in a clear and concise manner to a wide audience.
You can build and lead strong teams that perform and deliver well within stringent timelines.

The Offer
Lead the Data Science efforts of a global Financial Services firm

Ref :32735002","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
"Data Scientist
Catalyst",Catalyst,Bengaluru,3 - 7 years,"Key Skills
Data scientistData ScienceDeep learningdata crunchingPredictivePython / SparkDatadata visualizationmachine learning",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 3233,"We're looking for Data Ninjas to join our Central Analytics team. It's a fast-paced, high-adrenaline job, with plenty to learn. If you enjoy crunching numbers, are never satisfied with the products around you, and have always wanted to make things better than the best, you'll love this job.

What's required of you:

You will work closely with product leaders as a data-driven advisor and partner on strategic issues.
Will work collaboratively with game teams to deliver actionable insights into our games to further increase user acquisition, engagement and monetization.
Will proactively perform a wide range of analyses to identify trends, issues, and opportunities across games help us continue to improve gameplay.
Will answer business-related questions through exploratory data analyses and ad-hoc reporting.

Required Candidate profile
Qualifications and Skills Required: 

B.Tech/M.Tech/PhD in Computer Science/Statistics with demonstrated experience in Statistics
4+ years of experience and hands on experience in Python/Spark for data crunching, data visualization and machine learning.
SQL skills: Experience querying large, complex datasets from a data lake/warehouse.
Ability to execute research projects, and generate practical results and recommendations.
The candidate should enjoy both working with people and undertaking rigorous statistical analyses.
Knowledge of Deep Learning is highly desirable","Education
UG :B.Tech/B.E. in Any Specialization, Computers
PG :M.Tech in Computers, Any Specialization, MCA in Computers
Doctorate :Ph.D in Statistics, Computers"
"Data Scientist - Python/ SQL
Catalyst",Catalyst,Bengaluru,2 - 7 years,"Key Skills
Data ScienceJavaRNLPAlgorithmsData ScientistMachine LearningStatistical AnalysisStatisticsPythonSQL",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 5301,"Roles and responsibilities 
Job description

Skill: SQL, Python, Business Analysis, Data Science;

Exp: 2-7 years;

Job Description Ensuring quality in crowd sourcing model is the biggest challenge to solve for. Being the first data scientist of the company, you shall be responsible for building robust algorithms ensure quality, from scratch.Responsibilities- Develop models to derive maximum quality from crowd sourced data

Derive insights and identify opportunities through the use of algorithmic, statistical, mining & visualisation techniques- Work closely with engineering to implement aforementioned models
Required Candidate profile
Requirements

Bachelors or above in Mathematics, Statistics, CS or related fields.

Min. 2 years experience with mathematical modelling, statistical analysis, machine learning, NLP- Must have implemented machine learning based solution which is being used in production

Programming proficiency, preferably with Python, R, SQL, Java and equivalents- Experience of working with relational and non-relational databasesWe're a fast growing startup, looking for talented and ambitious individuals who want to join us on this journey and build awesome things which can change the way work gets done. You shall get,- Complete Ownership, Flexible timings

We deal with millions of data points every day and we can assure you that you will have no dearth of data to work with in this job- Pay as per industry standards. Lucrative stock options.

An awesome office to work in and awesome people to work with- Weekend beer! Munchies on the house )","Education
UG :B.A in Statistics, Maths, B.Tech/B.E. in Computers, B.Sc in Maths, Statistics
PG :Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
"Data Scientist
Narayana Health4.2(715 Reviews)",Narayana Health4.2(715 Reviews),Bengaluru,1 - 4 years,"Key Skills
Change ManagementNLPAlgorithmsBusiness AnalyticsImage ProcessingNeural Networksdata scientistMedical ImagingComputer VisionDeep Learning",Not Disclosed,Posted: 13 days agoOpenings: 2Job Applicants: 564,"Roles and Responsibilities
Interact with various business heads and function heads to get a detailed understanding of process flows and tracked metrics under their respective verticals
Synthesize and communicate main findings and conclusions through business review meetings in a way that these serve as helpful input for the leadership
Ideate and continuously refine comprehensive models and help construct dashboards and reports for various verticals
Build comprehensive models to identify and track key levers of business performance
Design visuals to effectively represent the data models and analyses to provide a clear structure for decision making
Drive adoption and deploy change management initiatives for higher usage of business analytics tools
Develop statistical and machine-learning models towards estimation and classification of clinical variables.
Develop computer vision algorithms on medical imaging data with image processing and deep learning/neural networks techniques towards image segmentation, image classification and 3D reconstruction.
Develop NLP algorithms to classify and summarize structured/unstructured text data
The candidate will interact with clinicians and other functional experts to develop a reasonable understanding of the underlying clinical/business concepts for the given problem domain. The candidate will then conceive, develop, deploy, validate and evaluate models to accurately reflect the underlying concept.","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required, Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
"Data Scientist
Narayana Health4.2(715 Reviews)",Narayana Health4.2(715 Reviews),Bengaluru,1 - 4 years,"Key Skills
Change ManagementNLPAlgorithmsBusiness AnalyticsImage ProcessingNeural Networksdata scientistMedical ImagingComputer VisionDeep Learning",Not Disclosed,Posted: 13 days agoOpenings: 2Job Applicants: 564,"Roles and Responsibilities
Interact with various business heads and function heads to get a detailed understanding of process flows and tracked metrics under their respective verticals
Synthesize and communicate main findings and conclusions through business review meetings in a way that these serve as helpful input for the leadership
Ideate and continuously refine comprehensive models and help construct dashboards and reports for various verticals
Build comprehensive models to identify and track key levers of business performance
Design visuals to effectively represent the data models and analyses to provide a clear structure for decision making
Drive adoption and deploy change management initiatives for higher usage of business analytics tools
Develop statistical and machine-learning models towards estimation and classification of clinical variables.
Develop computer vision algorithms on medical imaging data with image processing and deep learning/neural networks techniques towards image segmentation, image classification and 3D reconstruction.
Develop NLP algorithms to classify and summarize structured/unstructured text data
The candidate will interact with clinicians and other functional experts to develop a reasonable understanding of the underlying clinical/business concepts for the given problem domain. The candidate will then conceive, develop, deploy, validate and evaluate models to accurately reflect the underlying concept.","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required, Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
"Associate Data Scientist
Novotree Minds Consulting Pvt Limited5.0(2 Reviews)",Novotree Minds Consulting Pvt Limited5.0(2 Reviews),Bengaluru,2 - 5 years,"Key Skills
Predictive ModelingLogistic RegressionSASArtificial IntelligenceMachine LearningAnalyticsData ScienceRegression AnalysisRTime Series AnalysisClassificationChaidStatistical ModelingSPSSData AnalyticsPython","₹ 10,00,000 - 20,00,000 P.A.",Posted: 15 days agoOpenings: 2Job Applicants: 1624,"Roles and Responsibilities
As an Associate you will be responsible for a wide range of opportunities to ensure you have a steep learning curve. Along with solving complicated business problems for organizations using data science techniques.
You will be the face of Company, in client engagements. You will also have multiple opportunities to build, design & execute initiatives (ranging from contributing to the hiring & training programs to developing learning packages utilizing hot Analytics industry trends) that help us in our growth trajectory
Liaising with clients/stakeholders to understand the business problem
Define, breakdown and solve the business problems across domains while leveraging
conventional & new age data sources, and a wide array of techniques
Accountable for the delivery of end to end analytical solutions
Depending on the engagement, lead a team of Analysts/Associates to enable consumption of
analytical solution
Contributing to the learning programs through sessions, content creations etc. based on the
nature of the engagements

Desired Candidate Profile

We are looking for individuals who are curious, excited about learning, and navigating through the uncertainties and complexities that are associated with a growing company. Some qualifications that we think would help you thrive in this role are:
Strong application knowledge on tools (R/SAS/Python/SPSS etc.) and techniques (Regression, Machine Learning, Classification, Time series etc.)
Experience of working on analytics projects and initiatives, preferably around 2-5 years
Strong analytical/ problem solving skills / mindset
Bachelor/Master of Engineering, BSc/MSc Honours, PhD or equivalent

Experience or certifications with visualization tools (Tableau/Qlik/PowerBI etc)
Understanding of software development methodologies (Agile essential), values, and procedures
Well versed with big data handling using Hadoop, etc.
Perks and Benefits
An exciting opportunity to be a part of the growth journey of one of the fastest growing AI & ML firms scope for experimentation, the big & small victories, the learnings","Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Maths, Statistics, Computers
PG :MS/M.Sc(Science) in Computers, Maths, M.A in Economics"
"Urgent Opening f or Data Scientist
Encora Technologies (a Indecomm Digital company)",Encora Technologies (a Indecomm Digital company),Chennai,5 - 10 years,"Key Skills
Natural Language ProcessingText MiningPython
TensorflowData MiningData VisualizationSparkStatistical AnalysisSQL
Skills highlighted with ‘‘ are preferred keyskills",Not Disclosed,Posted: 10 days agoJob Applicants: 264,"Dear candidate

we have urgent Openings for Data scientist with us for Chennai/Bangalore Location , Please share profile if you are Interested for same.

Job Description:

• A minimum of 5 years experience in determining mathematical approaches to solve problems, sampling plan and gathering/analyzing /portraying data
• Exposure to unstructured data sets and Natural Language Processing
• Proven Business acumen and business domain knowledge is highly preferred
• A minimum of 2 years of experience in determining mathematical approaches to solve problems, sampling plan and gathering/analyzing /portraying data
• Work experience in building predictive models using various ML algorithms, drawing insights from the model output, communicating the results to key stakeholders, integrating the analytics into existing business workflows and measuring business outcome
• Proficient in designing/building/managing solutions utilizing for example Python, SQL and NoSQL queries, and Apache Hadoop and Spark
• Expertise in statistical analysis and deploying the results of the analysis
• Experience in data collection/data mining/text mining
• Strong skills in data visualization: Dash (plotly), D3, web technologies
• Experience in : Data mining unstructured, semi structured and structured data, data processing algorithms, statistical analysis and related tools like Pandas and TensorFlow
• Data Visualization tools like Tableu
• Experience in integration technology (MQ, Web services, Kafka, etc.)","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization"
"Only Fresher / Data Scientist / Data Analyst / Business Analytics- MNC
GABA Consultancy services
Hiring for Confidential - MNC",GABA Consultancy services,"Delhi NCR, Ghaziabad, Gurgaon",0 years,"Key Skills
O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython","₹ 2,25,000 - 4,75,000 P.A.",Posted: 13 days agoOpenings: 8Job Applicants: 1645,"Only Fresher Can Apply:

Description

1>MS Office skills: Excel (Advanced, pivot tables, and macro), Word & PowerPoint

2>Work independently

3>Analytical problem-solving

4>Self-starter

5>Understand customer needs and drive impact-full business

Required Candidate profile
Jos in Delhi, Noida,Gurgaon, Greater Noida

First Resume will be shortlisted then interview call will be generate

Other can also apply

Sales

Call Center

Front office Executive

Good in analytics","Education
UG :Any Graduate in Any Specialization"
"Data Scientist - Python/sas/r
Huquo Consulting Pvt. Ltd",Huquo Consulting Pvt. Ltd,Mumbai,2 - 6 years,"Key Skills
Data ScienceSASData ScientistData MiningData VisualizationWeb AnalyticsData AnalyticsStatisticsMachine LearningPythonSQL",Not Disclosed,Posted: 3 days agoOpenings: 1Job Applicants: 1989,"Data Scientist - Python/SAS/R - Analytics Center of Excellence
As a Data Scientist, you will work on a broad range of consulting projects applying sophisticated modeling, such as data mining, predictive modeling and optimization, to real-life business problems.

As Data Scientist, your specific responsibilities include the following:

- Collaborate with other data scientists, subject matter experts and client consulting teams from A.T. Kearney locations around the globe to deliver strategic advanced analytics solutions

- Analyze, manipulate, cleanse and validate data from a variety of data sources and platforms

- Apply data mining, statistical, machine learning & visualization methodologies to develop analytical solutions and generate actionable business insights

- Seamlessly support client engagements from design phase through solution development/ deployment to ongoing support and maintenance from India and sometimes from global client locations

- Work with different project teams to implement models and monitor performance and accuracy

- Present analysis, complex modelling results & insights to internal & external stakeholders using PowerPoint/ Excel

- Continuously adopt new platforms to solve existing & future business problems with latest technologies
Required Candidate profile
What we seek :

We are looking for Data Scientists for Mumbai location with advanced degree in a quantitative or engineering discipline such as Statistics, Mathematics, Computer Science, Operations Research from a leading institute. In addition to a strong academic record, Data Scientists must have 2+ years of work experience analyzing data and creating analytical solutions to business problems. Data Scientists should have excellent interpersonal, communication and writing skills. They should enjoy working in a team-based environment and possess outstanding problem-solving skills, professional work ethic and integrity.

In addition, they must have deep hands-on expertise in atleast one of the following:

- Optimization tools - AIMMS, Supply Chain Guru, CPLEX, GAMS, Gurobi etc.

- Statistical and data mining techniques- Regression, clustering, trees, random forest, gradient boosting, ANN, markov chain, SEM, text mining, social network analysis, etc.

- Social media/ web analytics: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.

Candidate should be proficient in atleast one of the following and aware of their real-world advantages/drawbacks:

- Programming & statistical modelling languages : Python, SAS, R, SPSS, SAS

- Database query/ distributed computing: SQL, HQL, Scala, Map/Reduce, Spark, MySQL, etc.

- Visualization platforms - PowerBI, Tableau, Qlikview etc.

What you can expect

We emphasize career development, providing our data scientists with constructive feedback and mentorship through their careers. Our goal is to help our people be successful professionals and grow with their teams.

Data Scientists can expect:

- Rapid enhancement of skills with constant exposure to new industries and projects

- Diverse, dynamic and engaged team environments

- To influence project direction and make significant contributions

- Opportunities to work on global client engagements","Education
UG :B.Tech/B.E. in Computers, B.Sc in Maths, Computers, Statistics
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Only Fresher / Data Scientist / Data Analyst / Business Analytics- MNC
GABA Consultancy services
Hiring for Confidential - MNC",GABA Consultancy services,"Delhi NCR, Ghaziabad, Gurgaon",0 years,"Key Skills
O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython","₹ 2,25,000 - 4,75,000 P.A.",Posted: 13 days agoOpenings: 8Job Applicants: 1645,"Only Fresher Can Apply:

Description

1>MS Office skills: Excel (Advanced, pivot tables, and macro), Word & PowerPoint

2>Work independently

3>Analytical problem-solving

4>Self-starter

5>Understand customer needs and drive impact-full business

Required Candidate profile
Jos in Delhi, Noida,Gurgaon, Greater Noida

First Resume will be shortlisted then interview call will be generate

Other can also apply

Sales

Call Center

Front office Executive

Good in analytics","Education
UG :Any Graduate in Any Specialization"
"Data Scientist - Python/sas/r
Huquo Consulting Pvt. Ltd",Huquo Consulting Pvt. Ltd,Mumbai,2 - 6 years,"Key Skills
Data ScienceSASData ScientistData MiningData VisualizationWeb AnalyticsData AnalyticsStatisticsMachine LearningPythonSQL",Not Disclosed,Posted: 3 days agoOpenings: 1Job Applicants: 1989,"Data Scientist - Python/SAS/R - Analytics Center of Excellence
As a Data Scientist, you will work on a broad range of consulting projects applying sophisticated modeling, such as data mining, predictive modeling and optimization, to real-life business problems.

As Data Scientist, your specific responsibilities include the following:

- Collaborate with other data scientists, subject matter experts and client consulting teams from A.T. Kearney locations around the globe to deliver strategic advanced analytics solutions

- Analyze, manipulate, cleanse and validate data from a variety of data sources and platforms

- Apply data mining, statistical, machine learning & visualization methodologies to develop analytical solutions and generate actionable business insights

- Seamlessly support client engagements from design phase through solution development/ deployment to ongoing support and maintenance from India and sometimes from global client locations

- Work with different project teams to implement models and monitor performance and accuracy

- Present analysis, complex modelling results & insights to internal & external stakeholders using PowerPoint/ Excel

- Continuously adopt new platforms to solve existing & future business problems with latest technologies
Required Candidate profile
What we seek :

We are looking for Data Scientists for Mumbai location with advanced degree in a quantitative or engineering discipline such as Statistics, Mathematics, Computer Science, Operations Research from a leading institute. In addition to a strong academic record, Data Scientists must have 2+ years of work experience analyzing data and creating analytical solutions to business problems. Data Scientists should have excellent interpersonal, communication and writing skills. They should enjoy working in a team-based environment and possess outstanding problem-solving skills, professional work ethic and integrity.

In addition, they must have deep hands-on expertise in atleast one of the following:

- Optimization tools - AIMMS, Supply Chain Guru, CPLEX, GAMS, Gurobi etc.

- Statistical and data mining techniques- Regression, clustering, trees, random forest, gradient boosting, ANN, markov chain, SEM, text mining, social network analysis, etc.

- Social media/ web analytics: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.

Candidate should be proficient in atleast one of the following and aware of their real-world advantages/drawbacks:

- Programming & statistical modelling languages : Python, SAS, R, SPSS, SAS

- Database query/ distributed computing: SQL, HQL, Scala, Map/Reduce, Spark, MySQL, etc.

- Visualization platforms - PowerBI, Tableau, Qlikview etc.

What you can expect

We emphasize career development, providing our data scientists with constructive feedback and mentorship through their careers. Our goal is to help our people be successful professionals and grow with their teams.

Data Scientists can expect:

- Rapid enhancement of skills with constant exposure to new industries and projects

- Diverse, dynamic and engaged team environments

- To influence project direction and make significant contributions

- Opportunities to work on global client engagements","Education
UG :B.Tech/B.E. in Computers, B.Sc in Maths, Computers, Statistics
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
